datasetName,uid,filesize,publish,export_filename,error_count,Created,Updated,Deleted,time_started,time_finished,current_row_count,threadID
DOS_POLITICALCONSULTANTFILINGS,tekz-xrvb,3569473,TRUE,C:/sterling/DOS_POLITICALCONSULTANTFILINGS_20210129_R.TSV,0,8820,0,0,2021-01-29T18:00:29.579930,2021-01-29T18:00:39.818783,8820,3728
DOS_ACTIVERESALESBROKERS,yg7h-zjbf,21760109,TRUE,C:/sterling/DOS_ACTIVERESALESBROKERS_20210129_R.tsv,0,165345,0,0,2021-01-29T18:00:32.326107,2021-01-29T18:00:46.338095,80000,5660
SLA_PENDINGLICENSES,t5r8-ymc5,286558,TRUE,C:/sterling/SLA_PENDINGLICENSES_20210129_R.csv,0,2036,0,0,2021-01-29T23:30:39.765790,2021-01-29T23:30:43.942806,2043,3064
SLA_ACTIVELICENSES,hrvs-fxs2,10677716,TRUE,C:/sterling/SLA_ACTIVELICENSES_20210129_R.csv,0,50155,0,0,2021-01-29T23:30:40.334831,2021-01-29T23:30:48.715575,0,2352
ITS_ACTIVITYLOGDATASET,h5bg-pd3x,177104,TRUE,C:/sterling/ITS_ACTIVITYLOGDATASET_20210129_A.csv,0,364,0,0,2021-01-30T00:30:35.860266,2021-01-30T00:30:46.828535,212718,7876
GAMING_BREAKDOWN,q6ts-kwhk,1198490,TRUE,C:/sterling/GAMING_BREAKDOWN_20210130_R.csv,0,4310,0,0,2021-01-30T02:00:33.775448,2021-01-30T02:00:43.659241,4310,4824
GAMING_WINNINGNUMCASH4LIFE,kwxv-fwze,65,TRUE,C:/sterling/GAMING_WINNINGNUMCASH4LIFE_20210129_A.CSV,0,1,0,0,2021-01-30T02:00:38.630761,2021-01-30T02:00:47.701282,1102,7752
GAMING_LICENSING,cz9u-yj7m,2276665,TRUE,C:/sterling/GAMING_LICENSING_20210130_R.csv,0,21082,0,0,2021-01-30T02:00:29.782192,2021-01-30T02:00:39.347511,21092,4448
GAMING_WINNINGNUMMEGA,5xaw-6ayf,79,TRUE,C:/sterling/GAMING_WINNINGNUMMEGA_20210129_A.CSV,0,1,0,0,2021-01-30T02:00:44.697151,2021-01-30T02:00:52.835631,1949,4796
GAMING_RETAILERFILE,2vvn-pdyi,1335771,TRUE,C:/sterling/GAMING_RETAILERFILE_20210129_R.CSV,0,15688,0,0,2021-01-30T02:00:37.508688,2021-01-30T02:00:49.379911,15690,4984
GAMING_RULINGS,igam-2tkj,10677016,TRUE,C:/sterling/GAMING_RULINGS_20210130_R.csv,0,37387,0,0,2021-01-30T02:00:41.048926,2021-01-30T02:00:50.326153,0,7984
